track_id,roi_id,entry_time,exit_time,duration_seconds
13,ROI_2,2026-09-10 18:20:03,2026-09-10 18:20:09,5.8
6,ROI_2,2026-09-10 18:20:03,2026-09-10 18:20:26,23.1
1,ROI_1,2026-09-10 18:20:03,2026-09-10 18:20:35,32.65
35,ROI_1,2026-09-10 18:20:49,2026-09-10 18:20:50,1.25
6,ROI_1,2026-09-10 18:20:39,2026-09-10 18:21:14,35.85
45,ROI_2,2026-09-10 18:21:20,2026-09-10 18:21:28,7.43
29,ROI_2,2026-09-10 18:21:35,2026-09-10 18:21:37,1.55
72,ROI_1,2026-09-10 18:21:32,2026-09-10 18:21:43,10.4
75,ROI_2,2026-09-10 18:21:33,2026-09-10 18:21:53,20.03
75,ROI_2,2026-09-10 18:21:56,2026-09-10 18:21:58,1.92
75,ROI_2,2026-09-10 18:21:59,2026-09-10 18:22:00,0.87
75,ROI_2,2026-09-10 18:22:00,2026-09-10 18:22:04,3.72
75,ROI_2,2026-09-10 18:22:06,2026-09-10 18:22:07,0.93
67,ROI_2,2026-09-10 18:21:29,2026-09-10 18:22:13,44.79
