track_id,event,frame,timestamp
179,entry,2,1789385695.925449
180,entry,2,1789385695.925449
181,entry,2,1789385695.926442
182,entry,2,1789385695.926442
183,entry,14,1789385697.6961865
184,entry,14,1789385697.6961865
185,entry,15,1789385697.834178
181,exit,73,1789385706.6221325
182,exit,109,1789385712.240048
179,exit,149,1789385718.256597
188,entry,163,1789385720.4121218
189,entry,183,1789385723.5088198
189,exit,185,1789385723.7992036
189,entry,187,1789385724.1225543
190,entry,220,1789385728.9056945
191,entry,226,1789385729.8503914
192,entry,227,1789385729.996963
183,exit,303,1789385741.1140795
193,entry,333,1789385745.7611096
191,exit,340,1789385746.860299
191,entry,342,1789385747.120065
189,exit,376,1789385752.3906274
195,entry,394,1789385755.5684528
