video,config,img_size,skip_rate,tracker,total_frames,processed_frames,elapsed_seconds,avg_fps
crowd-2.mp4,640px_no_skip_ByteTrack,640,1,ByteTrack,523,523,40.89,12.79
crowd-2.mp4,640px_no_skip_BoT-SORT,640,1,BoT-SORT,523,523,38.51,13.58
crowd-2.mp4,480px_no_skip_ByteTrack,480,1,ByteTrack,523,523,31.54,16.58
crowd-2.mp4,480px_no_skip_BoT-SORT,480,1,BoT-SORT,523,523,37.34,14.01
crowd-2.mp4,640px_skip2_ByteTrack,640,2,ByteTrack,523,262,24.66,21.21
crowd-2.mp4,640px_skip2_BoT-SORT,640,2,BoT-SORT,523,262,21.68,24.12
shopping-mall.mp4,640px_no_skip_ByteTrack,640,1,ByteTrack,402,402,34.44,11.67
shopping-mall.mp4,640px_no_skip_BoT-SORT,640,1,BoT-SORT,402,402,33.17,12.12
shopping-mall.mp4,480px_no_skip_ByteTrack,480,1,ByteTrack,402,402,21.63,18.58
shopping-mall.mp4,480px_no_skip_BoT-SORT,480,1,BoT-SORT,402,402,24.45,16.44
shopping-mall.mp4,640px_skip2_ByteTrack,640,2,ByteTrack,402,202,17.17,23.41
shopping-mall.mp4,640px_skip2_BoT-SORT,640,2,BoT-SORT,402,202,15.17,26.5
test-video.mp4,640px_no_skip_ByteTrack,640,1,ByteTrack,1126,1126,94.16,11.96
test-video.mp4,640px_no_skip_BoT-SORT,640,1,BoT-SORT,1126,1126,88.43,12.73
test-video.mp4,480px_no_skip_ByteTrack,480,1,ByteTrack,1126,1126,71.25,15.8
test-video.mp4,480px_no_skip_BoT-SORT,480,1,BoT-SORT,1126,1126,76.54,14.71
test-video.mp4,640px_skip2_ByteTrack,640,2,ByteTrack,1126,564,54.5,20.66
test-video.mp4,640px_skip2_BoT-SORT,640,2,BoT-SORT,1126,564,49.55,22.73
